292,3595,68690,1
837,3587,194590,5
1197,3575,279310,8
1374,3573,319930,9
1503,3562,350590,10
2002,3561,466130,13
2016,3560,469330,13
2089,3559,486110,14
2137,3542,497030,14
2549,3527,592470,17
3617,3526,840390,24
3881,3521,901470,26
3928,3519,912290,26
3983,3503,925110,26
4616,3501,1072770,30
4839,3500,1124350,32
5203,3498,1208390,34
5275,3488,1225070,35
5362,3481,1245170,35
5462,3474,1268250,36
5821,3472,1351310,38
6064,3457,1407170,40
7007,3447,1624230,46
7912,3446,1835330,52
9208,3445,2137610,61
11544,3438,2680210,76
27174,3438,6303390,180
