0,1137,0,0.0
64,1121,410,3
69,1120,430,3
99,1115,550,4
168,1110,826,7
260,1108,1194,11
269,1105,1230,11
283,1076,1286,11
315,1054,1414,13
477,1048,2062,18
490,1045,2114,19
491,1036,2118,19
509,1012,2190,19
730,1001,3074,27
848,978,3546,31
1098,973,4546,40
1176,968,4858,42
1640,967,6714,58
1685,965,6894,60
1967,962,8022,69
1975,960,8054,70
2115,958,8614,74
2147,944,8742,76
2335,937,9494,82
3191,932,12918,111
3210,931,12994,112
3346,921,13538,116
41951,920,167958,1359
42310,914,169394,1370
43200,913,172954,1399
416733,913,1667082,13916
