0,5146,0,0.0
28,5049,266,7
91,4892,518,14
234,4863,1090,29
414,4843,1810,47
1112,4825,4602,124
1126,4758,4658,125
1917,4740,7822,217
2220,4738,9034,250
2372,4714,9642,266
2978,4703,12066,330
3205,4673,12974,355
3259,4648,13190,361
3873,4643,15646,424
4019,4639,16230,439
4051,4618,16358,442
4246,4613,17138,463
4269,4602,17230,465
4864,4576,19610,528
5030,4575,20274,545
5115,4544,20614,554
5689,4494,22910,614
6074,4475,24450,652
6189,4452,24910,664
6466,4420,26018,691
9966,4413,40018,1031
14854,4403,59570,1506
15256,4383,61178,1544
42809,4381,171390,4267
106443,4356,425926,10348
504943,4351,2019926,47787
651973,4351,2608042,61880
