0,1639,0,0.0
23,1636,246,2
32,1599,282,2
346,1555,1538,14
563,1551,2406,19
587,1523,2502,20
682,1522,2882,22
774,1517,3250,24
845,1513,3534,26
897,1508,3742,27
959,1495,3990,29
1111,1484,4598,33
1219,1482,5030,35
1258,1463,5186,36
1543,1462,6326,43
1624,1445,6650,45
1796,1444,7338,49
1866,1439,7618,51
2233,1437,9086,59
2278,1435,9266,60
2424,1429,9850,64
2553,1426,10366,67
2687,1425,10902,70
2718,1413,11026,70
2771,1412,11238,72
2840,1411,11514,73
2846,1410,11538,73
2850,1408,11554,73
2899,1400,11750,75
2986,1399,12098,77
3135,1398,12694,80
3408,1393,13786,86
3639,1391,14710,91
3917,1390,15822,97
4038,1382,16306,100
4794,1379,19330,122
5459,1376,21990,142
6856,1370,27578,186
6883,1365,27686,187
10138,1364,40706,287
16746,1362,67138,485
163480,1358,654074,3742
217596,1357,870538,4902
222329,1356,889470,5015
222788,1355,891306,5029
223319,1353,893430,5046
496153,1351,1984766,11108
512073,1348,2048446,11442
701866,1348,2807614,15470
