0,2341,0,0.0
21,2340,238,1
100,2318,554,3
128,2311,666,4
152,2300,762,5
244,2275,1130,7
577,2274,2462,15
850,2265,3554,22
1174,2262,4850,31
1208,2246,4986,31
1232,2244,5082,32
1254,2238,5170,33
1472,2237,6042,38
1491,2233,6118,39
1548,2211,6346,40
1735,2210,7094,45
2192,2193,8922,56
2224,2189,9050,57
3113,2184,12606,80
3211,2177,12998,82
3996,2173,16138,102
4042,2172,16322,103
4117,2171,16622,105
4278,2170,17266,109
4471,2167,18038,114
4477,2166,18062,114
4531,2162,18278,115
4776,2161,19258,122
4813,2160,19406,123
5005,2156,20174,128
5007,2153,20182,128
5406,2152,21778,138
5759,2149,23190,146
6110,2148,24594,155
8255,2145,33174,204
11992,2144,48122,291
57280,2141,229274,1359
57365,2138,229614,1361
637543,2138,2550322,15470
