0,1424,0,0.0
45,1419,334,2
54,1409,370,2
75,1396,454,2
169,1384,830,5
189,1380,910,5
223,1373,1046,6
251,1361,1158,7
630,1357,2674,16
741,1350,3118,18
863,1339,3606,21
1091,1334,4518,26
1288,1309,5306,30
3200,1307,12954,58
3269,1303,13230,59
3825,1299,15454,68
4138,1298,16706,72
4204,1295,16970,73
4743,1292,19126,80
4888,1290,19706,82
4923,1289,19846,83
5030,1278,20274,84
5642,1277,22722,93
5720,1270,23034,94
5983,1269,24086,98
6535,1264,26294,106
24143,1262,96726,343
27677,1261,110862,390
36189,1259,144910,527
74613,1252,298606,1167
116141,1250,464718,1686
509999,1250,2040146,6958
