28,4280,208
38,4245,228
40,4243,232
107,4240,366
140,4212,432
191,4135,534
559,4132,1270
667,4123,1486
721,4111,1594
786,4103,1724
806,4095,1764
911,4070,1974
932,4032,2016
1004,4029,2160
1237,4027,2626
1350,3984,2852
2329,3981,4810
2385,3980,4922
2408,3973,4968
2446,3964,5044
2606,3955,5364
2739,3952,5630
2889,3943,5930
2896,3935,5944
2929,3931,6010
2983,3912,6118
3224,3906,6600
3248,3901,6648
3262,3898,6676
3575,3897,7302
3582,3881,7316
4001,3877,8154
4112,3867,8376
4183,3846,8518
4798,3840,9748
4897,3823,9946
4938,3821,10028
5306,3814,10764
5808,3800,11768
6680,3790,13512
7566,3781,15284
25000,3781,50150
