130,4249,412
165,4236,482
176,4147,504
505,4138,1162
724,4136,1600
751,4125,1654
958,4099,2068
1036,4095,2224
1096,4063,2344
1420,4053,2992
1641,4048,3434
1650,4036,3452
1663,4008,3478
2073,4007,4298
2149,3996,4450
2210,3972,4572
2231,3963,4614
2281,3949,4714
2550,3943,5252
3014,3940,6180
3334,3935,6820
3431,3934,7014
3762,3924,7676
4292,3900,8736
4319,3891,8790
4644,3888,9440
5020,3886,10192
5419,3884,10990
5980,3878,12112
6244,3870,12640
7244,3868,14640
7344,3859,14840
7677,3852,15506
8352,3841,16856
8748,3839,17648
9200,3834,18552
9217,3814,18586
10103,3801,20358
12418,3800,24988
12550,3799,25252
12661,3798,25474
13550,3792,27252
14452,3786,29056
14845,3780,29842
22070,3774,44292
23563,3757,47278
25000,3757,50150
