325,4033,802
406,4010,964
485,4003,1122
735,4001,1622
736,3999,1624
876,3979,1904
885,3975,1922
994,3972,2140
1020,3940,2192
1174,3931,2500
1309,3926,2770
1325,3874,2802
1629,3851,3410
1777,3843,3706
1871,3842,3894
1906,3836,3964
1985,3819,4122
2031,3793,4214
2210,3785,4572
2374,3782,4900
2406,3778,4964
2413,3768,4978
2508,3746,5168
2773,3730,5698
3037,3729,6226
3406,3714,6964
3540,3702,7232
4657,3692,9466
4959,3690,10070
5374,3682,10900
5468,3679,11088
5523,3672,11198
6007,3669,12166
6185,3654,12522
6535,3650,13222
6631,3649,13414
6687,3632,13526
6966,3630,14084
7241,3621,14634
7653,3617,15458
7719,3611,15590
8446,3610,17044
8455,3605,17062
8462,3604,17076
9108,3603,18368
9375,3598,18902
10279,3596,20710
25000,3596,50150
