8,4264,168
67,4263,286
114,4237,380
234,4229,620
311,4201,774
406,4165,964
453,4140,1058
628,4134,1408
652,4118,1456
801,4073,1754
1001,4059,2154
1133,4054,2418
1169,4048,2490
1462,4022,3076
1532,4006,3216
2143,3997,4438
2424,3976,5000
2430,3951,5012
3124,3941,6400
3174,3904,6500
3793,3901,7738
4039,3900,8230
4132,3893,8416
4163,3880,8478
4255,3876,8662
4692,3873,9536
4799,3864,9750
4812,3858,9776
4843,3850,9838
5188,3846,10528
5207,3835,10566
5303,3827,10758
5491,3823,11134
5686,3799,11524
6412,3783,12976
7434,3781,15020
7517,3777,15186
8600,3774,17352
9172,3752,18496
13765,3751,27682
16061,3748,32274
25000,3748,50150
