619,3766,144350
641,3765,149190
651,3749,151630
785,3735,182670
954,3729,221530
1348,3720,313010
1543,3717,357590
1731,3711,401950
1756,3700,407810
1948,3698,453050
2015,3690,468630
2363,3687,549630
2382,3683,553930
2410,3680,560690
2553,3679,594070
2555,3674,594630
3016,3673,702410
3405,3667,794350
3499,3661,816590
4072,3654,949490
5112,3644,1190890
5678,3632,1323810
5803,3627,1353230
7382,3625,1719690
8744,3623,2037210
9086,3620,2116890
9297,3617,2165710
12015,3616,2798590
12036,3602,2803330
14003,3600,3258390
25000,3600,5815030
