48,4172,248
68,4124,288
204,4120,560
219,4095,590
305,4079,762
343,4077,838
380,4075,912
509,4051,1170
590,4012,1332
807,3981,1766
893,3976,1938
1221,3975,2594
1225,3971,2602
1237,3929,2626
1303,3926,2758
1446,3910,3044
1715,3894,3582
1954,3893,4060
2004,3879,4160
2183,3865,4518
2439,3847,5030
2577,3845,5306
2838,3841,5828
2882,3832,5916
3116,3823,6384
3143,3810,6438
3260,3808,6672
3362,3793,6876
3959,3777,8070
4070,3773,8292
4573,3772,9298
4847,3757,9846
4858,3756,9868
6365,3734,12882
7035,3726,14222
7544,3723,15240
7597,3722,15346
8211,3715,16574
8580,3708,17312
9227,3706,18606
25000,3706,50150
