0,3938,0,0.0
1160,3925,82636,1307
1324,3920,89836,1371
1417,3913,100912,1460
1547,3901,114744,1587
1713,3891,135472,1766
1904,3890,151084,1898
1905,3881,151232,1899
2583,3870,201368,2332
2985,3865,239664,2640
3000,3860,241452,2654
3518,3844,272788,2915
4081,3843,313680,3264
4452,3839,332076,3409
4542,3838,342340,3489
4998,3835,375812,3762
5032,3830,379660,3792
5313,3827,393696,3948
5571,3825,409176,4142
5633,3822,413360,4188
5807,3818,424872,4299
6533,3808,484432,4922
6754,3805,506164,5148
7857,3803,561264,5702
7877,3799,562080,5708
8975,3797,583032,5880
9994,3795,639204,6384
10473,3794,697024,6894
10530,3792,701460,6943
10746,3791,724196,7146
10818,3789,733588,7245
11181,3788,778080,7807
11799,3786,857208,8675
12436,3776,931372,9468
14976,3774,1077548,11048
103474,3774,2949616,30940
