0,3429,0,0.0
1,3389,154,0
85,3387,322,1
114,3380,380,2
149,3337,450,2
305,3324,762,5
443,3293,1038,7
628,3273,1408,11
817,3272,1786,14
963,3223,2078,17
1417,3222,2986,25
1503,3217,3158,26
1557,3214,3266,27
1651,3208,3454,29
1771,3206,3694,30
1786,3198,3724,31
1944,3193,4040,33
2016,3192,4184,34
2192,3184,4536,37
2288,3175,4728,39
2334,3174,4820,40
2567,3172,5286,44
2889,3163,5930,49
3022,3157,6196,52
3514,3148,7180,60
4768,3146,9688,82
5012,3145,10176,86
5806,3143,11764,100
6029,3139,12210,104
6622,3135,13396,115
21454,3133,43060,361
583163,3133,1166476,10273
