0,9039,0,0.0
38,9028,228,2
40,9001,232,2
51,8981,254,3
92,8908,336,6
116,8815,384,8
193,8751,538,13
371,8728,894,26
374,8695,900,26
635,8653,1422,45
772,8636,1696,55
809,8620,1770,58
829,8576,1810,59
979,8557,2110,70
1076,8544,2304,76
1334,8524,2820,101
1400,8518,2952,107
1452,8491,3056,113
1467,8483,3086,114
1478,8478,3108,116
1709,8477,3570,140
1800,8412,3752,149
1968,8397,4088,167
2368,8389,4888,208
2376,8366,4904,209
2668,8354,5488,239
2738,8335,5628,246
3068,8295,6288,280
3229,8281,6610,293
3232,8279,6616,293
3385,8269,6922,304
3707,8260,7566,325
3868,8254,7888,336
3875,8220,7902,336
4092,8203,8336,352
4247,8193,8646,362
5786,8187,11724,478
6775,8180,13702,548
18929,8173,38010,1351
22779,8159,45710,1609
555920,8159,1111990,41095
