0,3652,0,0.0
2705,3650,423312,11516
3239,3631,507480,13230
3686,3624,565380,14437
3812,3619,582564,14751
3928,3615,601964,15131
4171,3612,634928,15785
4240,3601,647348,16017
4774,3598,740732,17730
5179,3594,783080,18435
5620,3588,862700,19870
6521,3586,962160,21830
6734,3561,993348,22423
6881,3556,999696,22545
6893,3551,999960,22549
6915,3549,1000960,22564
7294,3546,1010732,22744
7488,3541,1016500,22884
8002,3533,1048388,23603
8422,3519,1067396,24063
11830,3514,1389644,30484
12517,3509,1434464,31543
12882,3504,1482172,32550
15558,3501,1714132,37118
22754,3492,2199108,46441
24738,3491,2323420,48783
57922,3491,3109960,61642
