0,4948,0,0.0
10,4863,172,0
85,4858,322,5
103,4847,358,7
134,4797,420,9
293,4796,738,20
339,4791,830,23
356,4761,864,24
357,4759,866,24
364,4751,880,25
461,4741,1074,31
544,4740,1240,37
653,4699,1458,45
752,4697,1656,54
925,4692,2002,68
943,4661,2038,69
1081,4651,2314,79
1113,4558,2378,81
1343,4503,2838,97
1945,4502,4042,139
1958,4467,4068,140
2308,4464,4768,164
2877,4426,5906,202
4400,4419,8952,322
6329,4403,12810,477
38208,4400,76568,3127
72859,4399,145870,5764
73856,4392,147864,5839
84797,4388,169746,6781
501051,4388,1002252,41095
