0,3418,0,0.0
10,3416,172,0
129,3415,410,4
138,3406,428,4
171,3383,494,5
316,3382,784,10
337,3375,826,11
413,3373,978,14
609,3371,1370,20
750,3367,1652,25
801,3365,1754,26
857,3359,1866,28
893,3348,1938,29
1554,3331,3260,43
2140,3324,4432,61
2319,3316,4790,67
2534,3287,5220,74
3616,3284,7384,109
3900,3267,7952,119
4366,3251,8884,134
5351,3244,10854,166
5584,3242,11320,173
6382,3236,12916,191
6439,3235,13030,192
6447,3234,13046,192
6596,3231,13344,195
7102,3224,14356,205
7279,3221,14710,208
7655,3214,15462,215
7733,3213,15618,216
8788,3212,17728,236
25117,3211,50386,545
25144,3206,50440,546
331699,3205,663550,6893
461859,3200,923870,9685
493465,3200,987080,10273
