0,2483,0,0.0
38,2480,228,1
74,2470,300,1
118,2463,388,3
164,2451,480,4
212,2445,576,5
315,2381,782,8
612,2368,1376,16
621,2365,1394,16
746,2362,1644,21
828,2354,1808,24
845,2347,1842,25
1240,2336,2632,41
1260,2329,2672,42
1457,2327,3066,49
1590,2312,3332,52
1721,2295,3594,55
2059,2286,4270,63
2377,2280,4906,71
2672,2275,5496,79
3116,2268,6384,90
3126,2263,6404,90
4013,2262,8178,113
4122,2259,8396,116
4290,2255,8732,120
4329,2252,8810,121
5879,2250,11910,159
6256,2249,12664,169
9771,2246,19694,253
11193,2244,22538,287
11306,2241,22764,289
13660,2239,27472,346
13936,2230,28024,353
399147,2230,798444,10313
