1,4288,154,0
86,4256,1884,0
119,4181,2550,0
177,4176,3866,0
218,4149,4548,0
290,4116,5292,0
473,4098,7218,0
679,4095,10510,0
682,4077,10516,0
750,4056,11252,0
856,4046,12664,0
1045,4028,15322,0
1102,4005,16396,0
1179,3971,17150,0
1313,3952,18738,0
1400,3931,20112,0
1706,3923,24804,0
1803,3890,26318,0
2422,3889,34276,0
2473,3875,35098,0
2854,3865,39940,1
3101,3856,43314,1
3193,3854,44578,1
3618,3853,50468,1
3876,3843,53864,1
4303,3841,58558,1
4329,3833,58970,1
4557,3831,61826,1
4577,3828,62346,1
5333,3817,74298,2
5754,3807,80060,2
5766,3805,80564,2
6045,3788,85442,2
6109,3777,86290,2
6432,3774,90416,2
6550,3768,91852,2
6722,3763,94116,2
6735,3753,94382,2
6797,3752,95106,2
7039,3733,99070,2
7207,3728,101686,2
7358,3716,103188,2
7366,3706,103324,2
7559,3701,106590,2
7771,3681,109414,2
8084,3679,115080,3
9110,3664,131772,3
9543,3662,138278,3
9748,3646,141568,3
10048,3644,145288,3
10588,3638,153088,4
11075,3636,159582,4
11472,3633,164336,4
12082,3630,172996,4
12094,3622,173140,4
12234,3611,175580,4
12555,3608,179102,4
12592,3605,179536,4
12638,3601,180348,4
12674,3597,181020,4
13618,3591,194668,5
49087,3591,682724,18
