0,1870,0,0.0
896,1867,34308,2731
1225,1860,59124,3112
1449,1849,77030,3382
2546,1846,141798,4370
2743,1844,157816,4610
2765,1843,159664,4638
2826,1836,164328,4708
2869,1835,167710,4763
3070,1834,182934,4996
3196,1833,193058,5148
3258,1829,198336,5225
3354,1824,206070,5340
4419,1822,277080,6446
5245,1815,318874,7100
5787,1809,349652,7610
5853,1805,354746,7711
6168,1797,373086,7988
6236,1796,378698,8076
6591,1794,404438,8504
7263,1791,447116,9229
7435,1784,456764,9371
7671,1782,467488,9527
7725,1780,471814,9590
8296,1777,484998,9784
8537,1771,490312,9862
10375,1763,555484,10949
11749,1758,574850,11236
12847,1757,600042,11607
14065,1756,633364,12087
26696,1750,994548,17674
79227,1750,1631488,27832
