./instances/ruiz/json\n20m2-01.json,618,617,624
./instances/ruiz/json\n20m2-02.json,628,638,638
./instances/ruiz/json\n20m2-03.json,569,568,569
./instances/ruiz/json\n20m2-04.json,522,525,534
./instances/ruiz/json\n20m2-05.json,374,381,379
./instances/ruiz/json\n20m2-06.json,324,325,319
./instances/ruiz/json\n20m2-07.json,462,470,465
./instances/ruiz/json\n20m2-08.json,392,391,394
./instances/ruiz/json\n20m2-09.json,440,441,441
./instances/ruiz/json\n20m2-10.json,341,341,341
./instances/ruiz/json\n20m2-11.json,606,626,620
./instances/ruiz/json\n20m2-12.json,588,588,611
./instances/ruiz/json\n20m2-13.json,573,579,585
./instances/ruiz/json\n20m2-14.json,550,555,557
./instances/ruiz/json\n20m2-15.json,640,644,659
./instances/ruiz/json\n20m2-16.json,401,401,400
./instances/ruiz/json\n20m2-17.json,404,402,398
./instances/ruiz/json\n20m2-18.json,282,282,282
./instances/ruiz/json\n20m2-19.json,306,306,306
./instances/ruiz/json\n20m2-20.json,340,349,345
./instances/ruiz/json\n20m2-21.json,746,727,730
./instances/ruiz/json\n20m2-22.json,523,515,542
./instances/ruiz/json\n20m2-23.json,735,758,761
./instances/ruiz/json\n20m2-24.json,577,579,603
./instances/ruiz/json\n20m2-25.json,653,689,663
./instances/ruiz/json\n20m2-26.json,432,452,432
./instances/ruiz/json\n20m2-27.json,458,466,466
./instances/ruiz/json\n20m2-28.json,412,408,415
./instances/ruiz/json\n20m2-29.json,417,418,417
./instances/ruiz/json\n20m2-30.json,354,365,354
./instances/ruiz/json\n20m2-31.json,723,723,714
./instances/ruiz/json\n20m2-32.json,741,756,756
./instances/ruiz/json\n20m2-33.json,689,706,708
./instances/ruiz/json\n20m2-34.json,762,806,804
./instances/ruiz/json\n20m2-35.json,787,803,809
./instances/ruiz/json\n20m2-36.json,428,428,428
./instances/ruiz/json\n20m2-37.json,550,545,561
./instances/ruiz/json\n20m2-38.json,377,389,389
./instances/ruiz/json\n20m2-39.json,531,543,574
./instances/ruiz/json\n20m2-40.json,470,455,464
./instances/ruiz/json\n20m2-41.json,411,416,416
./instances/ruiz/json\n20m2-42.json,937,939,940
./instances/ruiz/json\n20m2-43.json,419,420,420
./instances/ruiz/json\n20m2-44.json,1045,1050,1047
./instances/ruiz/json\n20m2-45.json,507,513,517
./instances/ruiz/json\n20m2-46.json,178,183,179
./instances/ruiz/json\n20m2-47.json,211,211,211
./instances/ruiz/json\n20m2-48.json,193,193,194
./instances/ruiz/json\n20m2-49.json,441,441,441
./instances/ruiz/json\n20m2-50.json,260,261,260
./instances/ruiz/json\n20m2-51.json,934,943,943
./instances/ruiz/json\n20m2-52.json,344,342,340
./instances/ruiz/json\n20m2-53.json,947,954,963
./instances/ruiz/json\n20m2-54.json,878,885,891
./instances/ruiz/json\n20m2-55.json,543,529,543
./instances/ruiz/json\n20m2-56.json,332,326,326
./instances/ruiz/json\n20m2-57.json,657,657,657
./instances/ruiz/json\n20m2-58.json,585,585,585
./instances/ruiz/json\n20m2-59.json,398,394,394
./instances/ruiz/json\n20m2-60.json,832,832,844
./instances/ruiz/json\n20m2-61.json,1047,1071,1051
./instances/ruiz/json\n20m2-62.json,589,574,586
./instances/ruiz/json\n20m2-63.json,972,1009,1004
./instances/ruiz/json\n20m2-64.json,1329,1344,1340
./instances/ruiz/json\n20m2-65.json,1219,1228,1237
./instances/ruiz/json\n20m2-66.json,765,765,765
./instances/ruiz/json\n20m2-67.json,389,389,393
./instances/ruiz/json\n20m2-68.json,262,262,262
./instances/ruiz/json\n20m2-69.json,347,356,371
./instances/ruiz/json\n20m2-70.json,416,416,416
./instances/ruiz/json\n20m2-71.json,600,639,621
./instances/ruiz/json\n20m2-72.json,994,985,994
./instances/ruiz/json\n20m2-73.json,549,586,558
./instances/ruiz/json\n20m2-74.json,619,640,649
./instances/ruiz/json\n20m2-75.json,1035,1076,1073
./instances/ruiz/json\n20m2-76.json,294,273,294
./instances/ruiz/json\n20m2-77.json,657,657,657
./instances/ruiz/json\n20m2-78.json,526,562,523
./instances/ruiz/json\n20m2-79.json,624,608,608
./instances/ruiz/json\n20m2-80.json,785,785,808
./instances/ruiz/json\n20m4-01.json,640,645,649
./instances/ruiz/json\n20m4-02.json,691,699,701
./instances/ruiz/json\n20m4-03.json,540,541,540
./instances/ruiz/json\n20m4-04.json,633,634,635
./instances/ruiz/json\n20m4-05.json,627,626,618
./instances/ruiz/json\n20m4-06.json,345,347,373
./instances/ruiz/json\n20m4-07.json,305,314,312
./instances/ruiz/json\n20m4-08.json,409,407,413
./instances/ruiz/json\n20m4-09.json,431,428,452
./instances/ruiz/json\n20m4-10.json,374,374,374
./instances/ruiz/json\n20m4-11.json,698,687,684
./instances/ruiz/json\n20m4-12.json,808,793,809
./instances/ruiz/json\n20m4-13.json,668,685,679
./instances/ruiz/json\n20m4-14.json,728,758,742
./instances/ruiz/json\n20m4-15.json,693,696,723
./instances/ruiz/json\n20m4-16.json,278,265,278
./instances/ruiz/json\n20m4-17.json,412,426,426
./instances/ruiz/json\n20m4-18.json,572,587,583
./instances/ruiz/json\n20m4-19.json,439,450,471
./instances/ruiz/json\n20m4-20.json,465,489,500
./instances/ruiz/json\n20m4-21.json,884,892,873
./instances/ruiz/json\n20m4-22.json,875,904,875
./instances/ruiz/json\n20m4-23.json,887,886,857
./instances/ruiz/json\n20m4-24.json,860,876,885
./instances/ruiz/json\n20m4-25.json,930,981,996
./instances/ruiz/json\n20m4-26.json,640,662,659
./instances/ruiz/json\n20m4-27.json,486,492,490
./instances/ruiz/json\n20m4-28.json,564,582,564
./instances/ruiz/json\n20m4-29.json,640,601,632
./instances/ruiz/json\n20m4-30.json,651,616,611
./instances/ruiz/json\n20m4-31.json,926,1003,976
./instances/ruiz/json\n20m4-32.json,967,1003,966
./instances/ruiz/json\n20m4-33.json,896,900,892
./instances/ruiz/json\n20m4-34.json,1002,1024,1037
./instances/ruiz/json\n20m4-35.json,1088,1120,1095
./instances/ruiz/json\n20m4-36.json,552,577,570
./instances/ruiz/json\n20m4-37.json,553,576,575
./instances/ruiz/json\n20m4-38.json,574,593,592
./instances/ruiz/json\n20m4-39.json,754,802,774
./instances/ruiz/json\n20m4-40.json,595,582,595
./instances/ruiz/json\n20m4-41.json,999,992,1003
./instances/ruiz/json\n20m4-42.json,1039,1062,1054
./instances/ruiz/json\n20m4-43.json,829,818,818
./instances/ruiz/json\n20m4-44.json,1013,1023,1012
./instances/ruiz/json\n20m4-45.json,455,457,461
./instances/ruiz/json\n20m4-46.json,443,436,435
./instances/ruiz/json\n20m4-47.json,229,241,245
./instances/ruiz/json\n20m4-48.json,743,753,750
./instances/ruiz/json\n20m4-49.json,443,446,464
./instances/ruiz/json\n20m4-50.json,442,469,453
./instances/ruiz/json\n20m4-51.json,593,608,602
./instances/ruiz/json\n20m4-52.json,1193,1190,1203
./instances/ruiz/json\n20m4-53.json,1235,1249,1250
./instances/ruiz/json\n20m4-54.json,642,660,650
./instances/ruiz/json\n20m4-55.json,1263,1261,1276
./instances/ruiz/json\n20m4-56.json,271,278,271
./instances/ruiz/json\n20m4-57.json,381,425,390
./instances/ruiz/json\n20m4-58.json,381,381,380
./instances/ruiz/json\n20m4-59.json,741,746,719
./instances/ruiz/json\n20m4-60.json,803,803,803
./instances/ruiz/json\n20m4-61.json,1324,1376,1275
./instances/ruiz/json\n20m4-62.json,949,943,1007
./instances/ruiz/json\n20m4-63.json,1271,1414,1393
./instances/ruiz/json\n20m4-64.json,1045,1028,1028
./instances/ruiz/json\n20m4-65.json,860,842,880
./instances/ruiz/json\n20m4-66.json,611,625,626
./instances/ruiz/json\n20m4-67.json,999,1038,1089
./instances/ruiz/json\n20m4-68.json,811,811,802
./instances/ruiz/json\n20m4-69.json,582,597,614
./instances/ruiz/json\n20m4-70.json,447,457,459
./instances/ruiz/json\n20m4-71.json,1496,1657,1505
./instances/ruiz/json\n20m4-72.json,863,862,933
./instances/ruiz/json\n20m4-73.json,1807,1835,1885
./instances/ruiz/json\n20m4-74.json,994,991,1016
./instances/ruiz/json\n20m4-75.json,943,943,943
./instances/ruiz/json\n20m4-76.json,659,661,659
./instances/ruiz/json\n20m4-77.json,423,423,421
./instances/ruiz/json\n20m4-78.json,370,368,368
./instances/ruiz/json\n20m4-79.json,630,684,630
./instances/ruiz/json\n20m4-80.json,635,645,639
./instances/ruiz/json\n20m8-01.json,950,958,956
./instances/ruiz/json\n20m8-02.json,920,930,941
./instances/ruiz/json\n20m8-03.json,833,831,833
./instances/ruiz/json\n20m8-04.json,817,824,817
./instances/ruiz/json\n20m8-05.json,905,930,944
./instances/ruiz/json\n20m8-06.json,574,575,571
./instances/ruiz/json\n20m8-07.json,599,591,661
./instances/ruiz/json\n20m8-08.json,564,583,571
./instances/ruiz/json\n20m8-09.json,575,575,581
