0,1707,0,0.0
31,1648,278,3
97,1636,542,7
147,1622,742,9
157,1609,782,10
261,1603,1198,16
283,1599,1286,17
396,1595,1738,23
465,1571,2014,26
631,1570,2678,35
750,1563,3154,41
993,1557,4126,55
1001,1556,4158,56
1036,1545,4298,57
1165,1535,4814,64
1257,1533,5182,69
1447,1528,5942,78
1898,1524,7746,101
2043,1523,8326,109
2112,1507,8602,112
2509,1503,10190,132
3039,1501,12310,159
3555,1498,14374,185
3930,1497,15874,205
4401,1490,17758,228
5210,1485,20994,269
7782,1476,31282,397
8812,1475,35402,449
10130,1474,40674,521
10574,1473,42450,545
12037,1470,48302,616
15781,1461,63278,787
17692,1440,70922,871
19873,1435,79646,941
36863,1434,147606,1466
37373,1432,149646,1482
129940,1432,519910,4638
