0,6279,0,0.0
108,6162,586,16
209,6154,990,26
226,6109,1058,27
251,6106,1158,29
477,5937,2062,46
644,5914,2730,59
647,5891,2742,59
1260,5836,5194,101
1831,5800,7478,138
1936,5788,7898,145
2511,5784,10198,183
2558,5710,10386,187
2742,5644,11122,199
2936,5635,11898,212
3164,5595,12810,227
3309,5543,13390,236
3814,5529,15410,269
3862,5516,15602,272
3939,5511,15910,277
3983,5473,16086,280
4662,5464,18802,341
4700,5439,18954,345
4830,5437,19474,359
5064,5430,20410,382
5116,5410,20618,387
5141,5393,20718,390
6009,5373,24190,477
7907,5348,31782,647
9475,5342,38054,747
326646,5342,1306734,20547
